Category,Test Case,Description,Steps to Test,Expected Result,Priority,Status
Authentication,User Sign In,Verify user can sign in successfully,"1. Navigate to landing page
2. Click 'Sign In' button
3. Complete authentication flow",User is redirected to dashboard with authenticated state,High,Pass
Authentication,User Sign Out,Verify user can sign out,"1. Navigate to any app page while logged in
2. Click user profile in sidebar
3. Click 'Sign out' button",User is signed out and redirected to landing page,High,Pass
Authentication,Protected Routes,Verify unauthenticated users cannot access app pages,"1. Sign out if logged in
2. Try to navigate to /dashboard, /generate, /saved, /history directly",User is redirected to landing page for all protected routes,High,Pass
Authentication,Session Persistence,Verify user session persists across page refreshes,"1. Sign in
2. Refresh the page
3. Navigate between pages",User remains authenticated without re-login,Medium,Pass
Landing Page,Header Display,Verify landing header displays correctly,"1. Navigate to landing page
2. Check header elements",Header shows logo, navigation links, and Sign In/Dashboard button based on auth state,High,Pass
Landing Page,Hero Section,Verify hero section layout and spacing,"1. Navigate to landing page
2. Check hero section",Hero section has proper spacing from header (pt-32/pt-40), centered content, badge, title, description, and CTA buttons,High,Pass
Landing Page,Marquee Animation,Verify main marquee animates continuously,"1. Navigate to landing page
2. Observe the 'Strength/Endurance/Power/Hypertrophy' marquee",Marquee scrolls smoothly from right to left with seamless looping and no gaps,High,Pass
Landing Page,Footer Marquee,Verify footer marquee animates continuously,"1. Scroll to bottom of landing page
2. Observe the 'FitTracker Pro' marquee",Footer marquee scrolls smoothly in reverse with seamless looping,Medium,Pass
Landing Page,Features Grid,Verify features grid displays correctly,"1. Navigate to landing page
2. Scroll to features section",Grid displays 4 feature cards with proper layout (8-4-3-9 column spans on desktop),Medium,Pass
Landing Page,Responsive Design,Verify landing page is responsive,"1. Resize browser window to mobile, tablet, desktop sizes
2. Check all sections",All sections adapt properly to different screen sizes,High,Pass
Landing Page,Background Coverage,Verify black background covers entire viewport,"1. Navigate to landing page
2. Check background color",Black background (#000000) covers entire page without gaps,High,Pass
Dashboard,Page Load,Verify dashboard loads correctly for authenticated users,"1. Sign in
2. Navigate to /dashboard",Dashboard displays with stats cards, muscle heatmap, and recent activity,High,Pass
Dashboard,Stats Display,Verify workout statistics display correctly,"1. Navigate to dashboard
2. Check stats cards",Four stat cards show: Completed workouts, Calories, Minutes, and Coverage percentage,High,Pass
Dashboard,Muscle Heatmap,Verify muscle heatmap highlights trained muscles,"1. Complete a workout or view existing data
2. Navigate to dashboard
3. Check muscle heatmap",Heatmap highlights muscles in orange (#FF4B00) that have been trained,High,Pass
Dashboard,Recent Activity,Verify recent workouts display,"1. Navigate to dashboard with workout history
2. Check recent activity section",Shows last 5 workouts with name, date, duration, and muscle tags,Medium,Pass
Dashboard,Empty State,Verify empty state when no workouts exist,"1. Sign in with new account (no workouts)
2. Navigate to dashboard",Shows 'No recent workouts found' message with CTA to generate workout,Medium,Pass
Dashboard,Loading State,Verify loading indicator displays during data fetch,"1. Navigate to dashboard
2. Observe initial load",Loading spinner displays while fetching stats,Low,Pass
Generate,Page Access,Verify generate page loads for authenticated users,"1. Sign in
2. Navigate to /generate",Generate page displays with muscle selector, equipment options, and controls,High,Pass
Generate,Muscle Selection,Verify muscle group selection works,"1. Navigate to /generate
2. Click on muscle groups in the SVG diagram",Selected muscles highlight in orange and are added to selection,High,Pass
Generate,Equipment Selection,Verify equipment selection works,"1. Navigate to /generate
2. Toggle equipment options (Bodyweight, Dumbbells, Barbell, Cable)",Selected equipment highlights, at least one must remain selected,High,Pass
Generate,Duration Slider,Verify duration slider works,"1. Navigate to /generate
2. Adjust duration slider",Duration value updates (15-120 minutes range), displays current value,Medium,Pass
Generate,Difficulty Selection,Verify difficulty level selection,"1. Navigate to /generate
2. Select beginner/intermediate/advanced",Selected difficulty highlights with appropriate color coding,Medium,Pass
Generate,Workout Generation,Verify AI workout generation,"1. Select muscles, equipment, duration, difficulty
2. Click 'Generate Workout' button",Loading state shows, then generated workout displays with exercises,High,Pass
Generate,Generated Workout Display,Verify generated workout shows all details,"1. Generate a workout
2. Review displayed information",Shows workout name, total duration, calories, difficulty, and exercise list,High,Pass
Generate,Exercise Details,Verify exercise cards show complete information,"1. Generate a workout
2. Check each exercise card",Each exercise shows: name, muscles, sets, reps, rest time, equipment, and tip,Medium,Pass
Generate,Exercise Expansion,Verify exercise cards can be expanded,"1. Generate a workout
2. Click on an exercise card",Card expands to show full tip and details,Low,Pass
Generate,Save Workout,Verify workout can be saved,"1. Generate a workout
2. Enter a custom name (optional)
3. Click 'Save Workout'",Success message displays, workout is saved to database,High,Pass
Generate,Regenerate,Verify regenerate functionality,"1. Generate a workout
2. Click 'Regenerate' button",New workout is generated with same parameters,Medium,Pass
Generate,Validation,Verify validation for muscle selection,"1. Navigate to /generate
2. Try to generate without selecting muscles",Error message displays: 'Please select at least one muscle group',Medium,Pass
Saved Workouts,Page Load,Verify saved workouts page loads,"1. Sign in
2. Navigate to /saved",Page displays list of saved workout templates,High,Pass
Saved Workouts,Workout List,Verify saved workouts display correctly,"1. Navigate to /saved with saved workouts",Each workout shows name, muscles, duration, difficulty, and action buttons,High,Pass
Saved Workouts,Delete Workout,Verify workout deletion,"1. Navigate to /saved
2. Click delete button on a workout
3. Confirm deletion",Workout is removed from list and database,High,Pass
Saved Workouts,Start Workout,Verify starting a workout logs it,"1. Navigate to /saved
2. Click 'Start' on a workout",Workout is logged to history with completion timestamp,High,Pass
Saved Workouts,Empty State,Verify empty state display,"1. Sign in with no saved workouts
2. Navigate to /saved",Shows 'No saved workouts' message with CTA to generate,Medium,Pass
Saved Workouts,Muscle Tags,Verify muscle tags display correctly,"1. Navigate to /saved
2. Check muscle tags on workouts",Shows up to 3 muscle abbreviations, '+X more' if additional muscles,Low,Pass
History,Page Load,Verify history page loads,"1. Sign in
2. Navigate to /history",Page displays list of completed workout logs,High,Pass
History,Log Display,Verify workout logs display correctly,"1. Navigate to /history with completed workouts",Each log shows name, completion date, duration, calories, and muscles,High,Pass
History,Date Formatting,Verify relative date formatting,"1. Navigate to /history
2. Check dates on logs","Shows 'Today', 'Yesterday', 'X days ago', or formatted date",Low,Pass
History,Empty State,Verify empty state when no history exists,"1. Sign in with no workout history
2. Navigate to /history",Shows 'No workout history' message with CTA to start training,Medium,Pass
